var,descricao,descritor,nivel,peso
concurso_praticas_inova,PARTICIPOU†DE†ALGUM†CONCURSO†APRESENTANDO†PRATICAS†INOVADORAS,INFORMA«’ES ADICIONAIS,6,1.0
concurso_educador_inova,"PARTICIPOU†DO†CONCURSO†""EDUCADORES†INOVADORES""†APRESENTANDO†BOAS†PR·TICAS.",INFORMA«’ES ADICIONAIS,6,1.0
internet_residencia,POSSUI†ACESSO†‡†INTERNET†NA†SUA†RESIDÍNCIA,INFORMA«’ES ADICIONAIS,5,1.0
cadastro_portal_professor,POSSUI†CADASTRO†NO†PORTAL†DO†PROFESSOR,INFORMA«’ES ADICIONAIS,5,1.0
cadastro_portal_tv_escola,POSSUI†CADASTRO†NO†PORTAL†TV†ESCOLA†PARA†ASSISTIR†OS†VÌDEOS†ATUAIS†,INFORMA«’ES ADICIONAIS,5,1.0
notebook,POSSUI†NOTEBOOK,INFORMA«’ES ADICIONAIS,5,1.0
outra_atividade_remunerada,POSSUI†OUTRA†ATIVIDADE†REMUNERADA,INFORMA«’ES ADICIONAIS,5,1.0
curso_inf_basica_priv,REALIZOU†CURSO†DE†INFORM·TICA†B·SICA†OFERTADO†PELA†INICIATIVA†PRIVADA,INFORMA«’ES ADICIONAIS,4,1.0
curso_amb_virt_eproinfo,REALIZOU†CURSO†NO†AMBIENTE†VIRTUAL†DE†APRENDIZAGEM†E-PROINFO,INFORMA«’ES ADICIONAIS,4,1.0
curso_amb_virt_moodle,REALIZOU†CURSO†NO†AMBIENTE†VIRTUAL†DE†APRENDIZAGEM†MOODLE,INFORMA«’ES ADICIONAIS,4,1.0
curso_intro_educa_digital,REALIZOU†O†CURSO†DE†INTRODUÁ„O†A†EDUCAÁ„O†DIGITAL,INFORMA«’ES ADICIONAIS,4,1.0
curso_elab_projetos,REALIZOU†O†CURSO†ELABORAÁ„O†DE†PROJETOS,INFORMA«’ES ADICIONAIS,4,1.0
curso_ensina_aprend_tic,REALIZOU†O†CURSO†ENSINANDO†E†APRENDENDO†COM†AS†TIC,INFORMA«’ES ADICIONAIS,4,1.0
curso_midia_educ_esp,REALIZOU†O†CURSO†MÌDIAS†NA†EDUCAÁ„O†-†ESPECIALIZAÁ„O,INFORMA«’ES ADICIONAIS,4,1.0
util_canal_comunic_trab,UTILIZA†ALGUM†CANAL†DE†COMUNICAÁ„O†ON†LINE†EM†SEU†TRABALHO,INFORMA«’ES ADICIONAIS,6,1.0
util_projetor_proinfo,UTILIZOU†O†PROJETOR†PROINFO†(PROJETOR†MULTIMIDIA),INFORMA«’ES ADICIONAIS,6,1.0
